il;ilan
Adana;62
Adiyaman;2
Afyonkarahisar;14
Agri;6
Aksaray;14
Amasya;1
Ankara;413
Antalya;98
Ardahan;4
Artvin;1
Aydin;8
Balikesir;17
Bartin;7
Batman;15
Bilecik;1
Bingol;4
Bitlis;1
Bolu;5
Burdur;13
Bursa;126
ýanakkale;18
ýankiri;3
ýorum;4
Denizli;86
Diyarbakir;11
Duzce;28
Edirne;3
Elazig;19
Erzincan;11
Erzurum;23
Eskisehir;36
Gaziantep;49
Giresun;8
Gumushane;1
Hakkari;0
Hatay;16
Igdir;13
Isparta;5
Istanbul;1060
Izmir;196
Kahramanmaras;24
Karabuk;5
Karaman;4
Kars;4
Kastamonu;2
Kayseri;51
Kilis;3
Kirikkale;3
Kirklareli;2
Kirsehir;1
Kocaeli;47
Konya;68
Kutahya;11
Malatya;15
Manisa;17
Mardin;5
Mersin;56
Mugla;6
Mus;6
Nevsehir;7
Nigde;8
Ordu;3
Osmaniye;33
Rize;8
Sakarya;57
Samsun;29
Sanliurfa;1
Siirt;2
Sinop;6
Sirnak;12
Sivas;1
Tekirdag;11
Tokat;0
Trabzon;15
Usak;13
Van;21
Yalova;49
Yozgat;11
Zonguldak;1
